Player,Rk,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2019-20
Mason Plumlee,402.0,19-20,C,27.0,DEN,76.0,38.0,21.940000000000005,3.3,5.82,0.5721999999999999,0.0,0.06000000000000001,0.04,3.3,5.76,0.578,0.5726,1.72,3.02,0.5551999999999999,2.0,4.4399999999999995,6.44,2.7399999999999998,0.74,0.9400000000000001,1.5599999999999998,2.76,8.32,14041096
Matthew Dellavedova,127.0,19-20,PG,27.0,CLE,59.0,15.0,20.139999999999997,1.98,5.16,0.38320000000000004,0.8800000000000001,2.46,0.3436,1.1199999999999999,2.6999999999999997,0.42519999999999997,0.4662,0.8200000000000001,0.9200000000000002,0.8634000000000001,0.3,1.4200000000000002,1.72,3.9799999999999995,0.48,0.02,1.4,1.8199999999999998,5.68,9607500
Maurice Harkless,199.0,19-20,SF,24.0,TOT,67.2,44.0,23.12,2.92,5.9,0.4922000000000001,0.66,1.98,0.33340000000000003,2.2399999999999998,3.9200000000000004,0.5722,0.5498,0.7999999999999999,1.2600000000000002,0.6434,1.18,2.66,3.8200000000000003,1.04,0.9,0.6799999999999999,0.8600000000000001,2.2399999999999998,7.279999999999999,11511234
Meyers Leonard,295.0,19-20,C,25.0,MIA,56.0,15.0,16.160000000000004,2.22,4.640000000000001,0.49560000000000004,0.9,2.34,0.4022,1.3,2.2800000000000002,0.5770000000000001,0.5924,0.5,0.5800000000000001,0.7879999999999999,0.6,3.2800000000000002,3.8599999999999994,1.06,0.19999999999999998,0.22000000000000003,0.72,2.04,5.840000000000001,11286515
Michael Carter-Williams,92.0,19-20,SG,26.0,ORL,44.8,11.8,19.44,2.54,6.34,0.3902,0.36,1.3199999999999998,0.26000000000000006,2.22,5.0200000000000005,0.42860000000000004,0.42060000000000003,1.52,2.08,0.7325999999999999,0.76,2.6,3.4,2.96,0.9800000000000001,0.54,1.44,2.16,6.94,2028594
Michael Kidd-Gilchrist,272.0,19-20,SF-PF,24.0,TOT,50.2,33.0,22.58,3.1,6.34,0.4662,0.18,0.52,0.22600000000000003,2.9200000000000004,5.8,0.4824,0.4838,1.6600000000000001,2.26,0.7432,1.34,3.44,4.8,1.06,0.5399999999999999,0.52,0.76,1.8800000000000001,8.04,13000000
Mike Conley,110.0,19-20,PG,30.0,UTA,50.8,49.4,31.639999999999997,5.84,13.820000000000002,0.422,2.02,5.5600000000000005,0.36439999999999995,3.8199999999999994,8.260000000000002,0.4612,0.4952,3.94,4.74,0.8336,0.43999999999999995,2.62,3.0599999999999996,5.459999999999999,1.12,0.26,1.8399999999999999,1.92,17.68,32511623
Mike Muscala,360.0,19-20,C,26.0,OKC,58.8,4.4,15.940000000000001,2.06,4.5600000000000005,0.4542,0.9200000000000002,2.4999999999999996,0.3646,1.1600000000000001,2.08,0.5408,0.549,0.76,0.9199999999999999,0.8244,0.8,2.3600000000000003,3.1599999999999997,1.02,0.33999999999999997,0.5,0.6599999999999999,1.46,5.779999999999999,2028594
Mike Scott,442.0,19-20,PF,29.0,PHI,63.2,3.0,16.02,2.22,5.119999999999999,0.4218,0.8800000000000001,2.42,0.34299999999999997,1.3599999999999999,2.7199999999999998,0.48580000000000007,0.5046,0.5,0.6199999999999999,0.761,0.7,2.34,3.04,0.9199999999999999,0.27999999999999997,0.16,0.6,1.48,5.86,4767000
Montrezl Harrell,201.0,19-20,C,24.0,LAC,63.6,5.0,19.82,4.839999999999999,7.82,0.6252,0.0,0.13999999999999999,0.09240000000000001,4.819999999999999,7.679999999999998,0.6344,0.6262000000000001,2.12,3.3600000000000003,0.6154,1.6400000000000001,2.98,4.62,1.2400000000000002,0.5199999999999999,0.8200000000000001,1.08,2.1399999999999997,11.780000000000001,6000000
